Condition,Frequencies (Hz)
"Cold and Flu Basic, Fat Burn, Influenza and Cold, Measles Rubeola, Adenovirus,Lungs Stomach",962
"HIV, Human T Lymphocyte Virus, T Lymph Virus, Cancer Basic, Muscles to Relax,Muscle, Cancer",965
"Cat Scratch Fever, Measles Rubella, Pyoderma,Skin, Pyoderma Gangrenosum, German Measles,",967
"Fat Burn, Cholera,Intestines, Cholera",968
"Parasites Helminthosporium,Skin, Helminthosporium, Fat Burn, Eggs of Worms, Influenza Virus",969
"Scrub Typhus, Cryoglobulinemia, Keratoconus, Cryptococcosis, Jaundice, Sciatica, Avian Influenza,",970
"Bermuda Smut, Bermuda Smut",971
"Crohn's and Other Bowel Problems,Intestines, Food Poisoning, Salmonella Comp, Radiation",972
Celia Carroll,973
"Pyoderma,Skin, Pyoderma Gangrenosum, Yeast General V",974
"Influenza Vesica General, Cold, Pneumonia General,Lung, Legionellosis, Legionella,Lung,",975
Chilomonas Whole Mount,976
"Cancer Cervical, Herpes Simplex RTI",978
"Cancer Melanoma, Crohn's and Other Bowel Problems,Intestines, Melanoma Metastasis, Cancer",979
"Yeast General V, Pulmonary Atresia, Cancer, Clostridium Enterocolitis, Trichomonas,Vaginal,",980
"Dental Infection, Dental Infections Virus",981
"Ovarian Cyst,Ovary, Yeast General V, Cancer Breast, Mold A and C, Canker, Stomatitis Aphthous",982
"Ear Wax,Ear, Cerumen Ear Wax,Ear, Yeast General V, Influenza Virus 1991/1992",984
"Hiatal Hernia, Staphylococci and Streptococcus V, Influenza Virus 1991/1992",985
"Amyotrophic Lateral Sclerosis,Nerve, Mycoplasma Fermentans, Alzheimers, Glanders, Mycoplasma",986
"Yeast General V, Hepatitis General, Yeast General, Geotrichum Candidum, Hepatitis General 1",987
"African Trypanosomiasis, Geotrichum Candidum, Morgan Bacterium",988
"Leishmania Mexicana, Cyclospora, Cyclospora,Intestines",992
"Lupus General Secondary, Lupus Erythematosus, Lupus",993
"Streptococcus Mutant Strain, Influenza Grippe 1986 Tri",994
"Gardnerella, Gardnerella, Influenza Swine, Influenza Virus Swine, Gardnerella, Swine Flu",995
Yellow Fly,996
"Herpes Simplex RTI, Cancer Cervical, Feline Cat Leukemia, Cancer Leukemia Feline,Blood",997
"Staphylococcus Aureus, Tumor Staphylococcus Aureus, Hiatal Hernia, Carbuncles, Sacral, Zinc",999
"Furunculosis Herpes, Vitamin B12 Deficiency, Mucor Mucedo, Swelling, Herpes Furunculosis Skin",1000
"Malaria, Malaria Falciparum",1002
Mycobacterium Leprae,1004
Fat Burn,1009
"Streptococcus and Staphylococci V, Streptococcus Viridans, Hiatal Hernia, Staphylococci and",1010
"Condylomata Advanced Set,Skin, Cancer Cervical, Human Papillomavirus HPV, Papillomavirus",1011
"Cytomegalovirus CMV, Chronic Fatigue Syndrome, Epstein Barr Virus, EBV, Chronic Fatigue",1013
Penicillium Rubrum,1015
"Candida Organ Support, Kidney Stimulation, Mold Mix B, Mold Mix B (P. Williams), Yeast Ultimate,",1016
Penicillium Rubrum,1018
"Malaria, Malaria Falciparum",1019
"Influenza V75 Victoria, Mycoplasma Fermentans Incognitus",1020
Schuman B Cell,1023
Healing,1026
"Cancer Basic, Bacillinum,Respiratory",1027
"Fractures Bone,Bone, Cartilage and Connective Tissue",1028
"Cancer Nasopharyngeal, Chronic Fatigue Syndrome, Epstein Barr Virus, EBV Secondary, Epstein",1032
"Critter, Critter",1033
Fat Burn,1034
"Leukoencephalitis, Cholera, Leukoencephalitis, Cancer Cervical, Leukoencephalitis, Cholera,",1035
"Dental, Dental, Dental General, Detox Heavy Metals, Dental Infection",1036
Hepatitis General Secondary,1041
"Bacillinum, Arnica, Bacillinum,Respiratory",1042
"Herpes Simplex, Dental, Influenza Bach Poly, Coxsackie B5, Herpes Simplex General Virus,",1043
"Candida, Enterovirus, Meningitis,Brain, Meningitis, ALS ,Nerve, Meningitis",1044
"CMV,Salivary Glands, Cytomegalovirus,Salivary Glands, CMV, Detox Chemtrail, Mycoplasma",1045
"Cancer, Cancer Basic A, Carbuncles, Streptococcus and Staphylococci V, Staphylococcus Aureus,",1050
"Cancer Cervical, Condylomata Advanced Set,Skin, Papillomavirus, Human Papillomavirus HPV",1051
"Head Top Of, Tobacco Mosaic",1052
"Parasites Trichinosis,Intestines, Herpes Simplex RTI, Trichinosis, Cancer Cervical",1054
"Chilomastix Cysts (Rat), Mycogone Fungoides",1055
DNA and DNA Nucleotides + WBC RBC etc,1056
"Echinostoma Revolutum, Staphylococci and Streptococcus V, Fat Burn, Hendra Virus Disease,",1060
"Ehrlichia, Detox Chemtrail, Chemical Spray-Related Illness, Mycoplasma General, Q Fever,",1062
Borreliosis,1064
"Cytophaga Rubra, Echinostoma Revolutum",1065
"Mycoplasma General, Chemtrail Detox, Detox Chemtrail, Chemical Spray-Related Illness",1067
"Aprosodia,Brain, Caffey-De Toni-Silverman Syndrome, Penicillium Chrysogenum Secondary,",1070
"Lyme Hatchlings Eggs, Borrelia Hatchlings and Eggs",1072
"Cancer Cervical, Herpes Simplex RTI",1073
Mycogone Fungoides,1074
"Heartworms, Dirofilaria Immitis,Lung, Parasites Heartworms,Lung, Dirofilaria Immitis",1077
"Lymphadenitis, Lymphangitis,Blood, Cancer Non Hodgkins ,Lymph, Lymphoma Non Hodgkins,",1078
"Leukoencephalitis, Leukoencephalitis, Leukoencephalitis, Leukoencephalitis,Brain",1079
"Coxsackie B5, Coxsackie B5",1083
Tuberculinum,1085
"Lyme Hatchlings Eggs, Lyme Disease, Borrelia Hatchlings and Eggs",1087
"Staphylococci Infection, Hiatal Hernia",1089
Esophagitis,1090
"Dental General, Dental, Dental Infection, Dental",1094
Schuman B Cell,1097
Tuberculinum,1099
Schuman B Cell,1100
"Papilloma Kidney,Kidney, Tumor Benign Papilloma Virus, Papillomavirus Cyst, Kidney",1102
"Lyme Disease, FIV, FIV,Cats, Feline Cat Immunodeficiency Virus FIV",1103
"Borrelia Hatchlings and Eggs, Lyme Hatchlings Eggs",1105
"Streptococcus and Staphylococci V, Staphylococci and Streptococcus V, Staphylococci Infection,",1109
Cold,1110
"Critter, Critter, Leukoencephalitis, Leukoencephalitis, Leukoencephalitis, Leukoencephalitis,",1111
"Mycoplasma General, Detox Chemtrail, Parasites Strongyloides Secondary, AIDS",1113
"Lymphoma Non Hodgkins, Q Fever, Cryptococcosis, Lymphadenitis, Pemphigus Benign Familial,",1120
Detox Heavy Metals,1121
"Fistula Dentalis, Cancer Basic",1122
Mycogone Species (spp),1123
"Myositis, Myositis,Muscle, Myositis",1124
Joy,1126
Cancer Basic,1127
"Mold and Fungus General, Fungus and Mold, Mold, General Balancing, Balancing of Body,",1130
"General Balancing, Facial Cramps,Face, Balancing of Body, Cancer Breast, Parkinson's",1131
"Botrytis Cinerea, Botrytis Cinerea,Lung, Breast Tumors Benign, FIV, Botrytis Cinerea, FIV,Cats, TB",1132
"Cancer Larynx, Cancer Carcinoma Larynx,Voice Box",1133
"Kidney Stimulation, Fungus General, Yeast General V, Candida Organ Support, Candida Albicans,",1134
Semperillium,1140
"Lockjaw, Tetanus, Lockjaw Tetanus, Lockjaw,Jaw",1142
Sars,1143
"Candida Albicans, Candida Organ Support, Parasites Ascaris, Candida Tertiary",1146
"Chemtrail Detox, Chemical Spray-Related Illness, Detox Chemtrail, Mycoplasma General",1147
"Paramecium Caudatum, Sinusitis",1150
"Candida Organ Support, Candida",1151
"Candida Organ Support, Candida Albicans, Fungus General, Candida Secondary, Kidney",1153
"Mold, Mold and Fungus General, Fungus and Mold",1155
"Leukoencephalitis Secondary, Leukoencephalitis, Leukoencephalitis, Chicken Pox, Herpes Zoster,",1160
Croup,1165
CoronaVirus,1167
"Myositis, Myositis,Muscle, Myositis",1169
"Mumps Secondary,Mouth",1170
Herpes Progenitalis,1175
"Ehrlichia Equi, Mycobacterium Avium,Lung, Fibrodysplasia OP",1180
Detox Heavy Metals,1183
Influenza Virus B,1186
"Black Vomit, Yellow Fever",1187
"Coxsackie, ALS ,Nerve, Coxsackie General, Enterovirus",1189
Influenza With Respiratory,1191
"Grippe, Influenza Grippe General",1192
"Breakbone Fever, Dengue Fever",1194
"Ebola Virus, Breakbone Fever, Ebola Hemorrhagic Fever, Dengue Fever",1195
"Dengue Fever, Breakbone Fever",1196
"Tachycardia, Gardnerella, Herpes Simplex I, Gonorrhea, Sacral, Zinc Etc, Ascaris Lumbricoides",1200
"Blastocystis Hominis,Intestines, Blastocystis Hominis, Blastocystis Hominis",1201
Streptococcus Haemolytic,1203
"Pyrogenium Ex Ovo, Hypertension Portal",1210
Detox Heavy Metals,1211
"Foot and Mouth Disease, Foot and Mouth Syndrome, Aphthovirus, Streptococcus Viridans,",1214
Influenza With Respiratory,1215
"Streptococcus Viridans, Pyrogenium Ex Ovo",1216
"Ornithosis,Parrots, Parrot Fever, Ornithosis, Psittacosis, Psittacosis",1217
"Muscular Atrophy Spinal, Atrophy Muscular Peroneal, HIV, Human T Lymphocyte Virus,",1220
"Microsporum Audouini,Skin",1222
"Parasites Tapeworms,Intestines, Cysts Hydatid, Echinococcus Granulosus, Cyst",1223
Cold,1228
"HIV, Bulla, T Lymph Virus, Herpes Labialis, Human T Lymphocyte Virus",1230
"Bronchial Asthma, Dan's Mold, Asthma ,Lung, Asthma ,Lung, Bronchial Asthma, Asthma,Lung,",1233
"Bronchitis,Lung, Bronchial Asthma, Coughing,Respiratory, Influenza 2003/2004, Bronchitis,",1234
"Klebsiella Pneumoniae, Pneumonia,Lung, Pneumonia General,Lung, Bronchial Pneumonia",1238
West Nile,1239
"Flu Triple Nosode, Escherichia Coli, E Coli Mutant Strain, Influenza Triple Nosode, Escherichia",1242
"Aphthovirus, Foot and Mouth Syndrome, Blastocystis Hominis, Mumps Secondary,Mouth,",1243
"Leukoencephalitis Secondary, E Coli Mutant Strain, Aphthovirus, Hand Foot and Mouth Syndrome,",1244
"Conjunctivitis,Eyes, Bacillus Subtilis, B Subtilis, Conjunctivitis Bacillus Subtilis, Conjunctivitis",1246
"Bell's Palsy, Bell's Palsy, Varicosities, Detox 4 Toxins Throughout the Body, Cirrhosis of the Liver,",1250
Trichophyton Nagel,1256
"AIDS Secondary,Immune System, AIDS Secondary,Immune System, Protomyxzoa Rheumatica",1260
"Hiatal Hernia, Streptococcus Infection General",1266
Distemper,1269
"Helminthiasis, Cherubism",1270
"Aphthovirus, Foot and Mouth Syndrome, Foot and Mouth Disease, Hand Foot and Mouth",1271
Influenza Bach Poly,1272
"Hot Tub Folliculitis, Farcy, Mallei, Pseudomonas Mallei, Glanders, Glanders",1273
"Cryptosporidium,Intestines, Candida",1276
"Asthma ,Lung, Bronchial Asthma, Asthma ,Lung, Asthma,Lung, Asthma ,Lung, Asthma ,Lung,",1283
"Parasites Flatworms, Fanconi Anemia",1290
"Leaky Gut Sweep, Serotonin Syndrome",1300
"Lung Sinus Bacteria,Lung",1311
"Bacterium Coli, E Coli, Escherichia Coli, Escherichia Coli, E Coli Escherichia Coli, Melanoma",1320
Ascariasis,1330
"Multiple Sclerosis ,Nerve",1331
"Leukoencephalitis,Brain, Lupus Erythematosus, Leukoencephalitis, Mold, Leukoencephalitis,",1333
"Adrenal Function Normalize,Adrenals, Cataract General, Cataract, Eye Disorders,Eyes, Cataract",1335
"Lymphoma Non Hodgkins, Cancer Fibrous Tumor Secondary, Cancer Non Hodgkins ,Lymph",1340
"High Endocrine Production Stimulate, Endocrine RX",1342
Detox Heavy Metals,1343
"Malaria Falciparum, Malaria",1348
Craniopharyngioma,1350
"Hypothalamus Stimulate Normal Function, Dan's Mold, Hypothalamus Function Balance, Sacral,",1351
"Cancer Basic, Carcinoma",1352
Detox Heavy Metals,1354
"Ehrlichia, Rickets, Q Fever, Rickettsia",1357
"Cysts Hydatid, General Antiseptic, Detox Antiseptic Effect, Parasites General, Tissue Healing and",1360
"Pullularia Pullulans,Lung, Pullularia Pullulans",1364
"Anthrax,Skin Lungs Intestines, Bacillus Anthracis, Gulf War Syndrome",1365
"Bacillus Anthracis, Gulf War Syndrome",1370
"Hepatitis C, Hepatitis C",1371
"Trichinosis, Trichinosis, Bacillus Botulinus, Parasites Trichinosis,Intestines, Botulism, Botulinum,",1372
Pinguecula,1375
"Tonic-clonic Seizures Grand Mal, German Measles",1380
"Fibroids General,Uterus, Breast Fibromatosis, Mammary Fibroid Cyst, Fibroadenoma",1384
Cysto PyeloNephritis,1385
Cholesterinum,1386
"Candida, Sinusitis, Fat Burn",1395
"Herpes Type 2A Secondary, Herpes Type 2 Comp, Cancer Lymphogranuloma Lymphoma, Herpes",1402
"Candida Organ Support, Candida, Candida Tropicalis, Candida, Candida Tropicalis",1403
Bacillus Thuringiensis,1405
"Hypothalamus Stimulate Normal Function, Hypothalamus Function Balance, Endocrine RX, Sacral,",1413
Streptococcus Haemolytic,1415
Mumps Vaccine,1419
"Anankastic Personality Disorder, Parasites Entamoeba Gingivalis Trophozoite",1420
"Enterovirus, Parkinson's V, Influenza Triple Nosode, Meningitis, Meningitis,Brain, ALS ,Nerve,",1422
"Brucella Abort Bang, Crohn's and Other Bowel Problems,Intestines",1423
Detox Heavy Metals,1425
"Malaria, Lyme Disease, Borrelia Lyme A",1433
"White Blood Cell Production Normalize, Normalize White Blood Cell Production, Blood White Cell",1434
"Nasal Polyp, Mange, Mange Follicular, Polyp Nasal,Nose, Parasites Scabies,Skin",1436
Lymphoma Non Hodgkins,1440
"Lamblia, Giardia Parasites",1442
Progesterone Normalize Level,1443
"Malaria, Mycosis Fungoides, Testosterone Male Normalize Level, Mycogone Fungoides",1444
"Typhoid Fever, Testosterone Female Normalize Level, Malaria",1445
Progesterone Normalize Level,1446
Barley Smut,1447
"Lyme, Borreliosis,Joints, Borreliosis, Lyme Disease, Borreliosis, Lyme and Rocky Mountain",1455
"Mold Mix B (P. Williams), Mold Mix B",1463
"Lupus Erythematosus, Lupus, Lupus General Secondary",1464
"Lung Sinus Bacteria,Lung",1466
"Pleurisy, Pericardial Effusion",1470
"Malaria, Malaria Falciparum",1473
"Klebsiella Pneumoniae, Bronchial Pneumonia, Bronchopneumonia Borinum, Broncho Pneumonia",1474
Collectotrichum,1482
"Herpes General, General Comprehensive, Enterovirus, General Prophylaxis, General Antiseptic,",1488
"Herpes General, Herpes General, Herpes General, Morbillinum, Herpes Simplex I, Autism,",1489
"Ectoparasitic Infestations, Cancer Hypopharyngeal",1490
"Kidney Function Balance, Influenza, Bladder Infection, Pancreatic Insufficiency, Influenza",1500
Detox Heavy Metals,1505
Candida Albicans,1507
"Tuberculosis General,Lung, Tuberculosis Rod Form,Lung, Tuberculosis Rod E Coli Infections,Lung",1513
"Malaria Falciparum, Bartonella Henselae,Lymph, Cat Scratch Fever, Malaria",1518
"Lyme Disease, Borrelia Lyme A",1519
"Dermoid Cyst, Varicosities, Erdheim-Chester Disease, Lyme Disease, Borreliosis, Heart",1520
"Amoeba, Amoeba General, Cancer Hodgkin's Disease, Salmonella, Cancer Lymphogranuloma",1522
"Molluscum Contagiosum,Skin, Schuman B Cell, Red Blood Cell Production Normalize, Blood Red",1524
"Endocrine RX, Hypothalamus Function Balance, Hypothalamus Stimulate Normal Function, Sacral,",1534
"Healing, Endocrine System Balance",1537
Cancer Healing,1538
Herpes Zoster Virus,1544
"Botrytis,Lung, Botrytis Cinerea",1545
Healing,1549
"Adhesions, Pneumonia General,Lung, Lupus Erythematosus, Intestines Inflammation, Epstein Barr",1550
"Gallbladder Inflammation,Gallbladder, Cholecystitis Chronic,Gallbladder",1551
"Cancer Breast, Liver Necrosis, Herpes General, Food Poisoning, Cancer Breast, Cancer General,",1552
"Lyme Disease, General Cleanser",1554
"Gingivitis, Pyoderma Gangrenosum, Sars ,Respiratory, Cancer, Gum Disease,Gums, Gum",1556
"Ganglionitis, Chicken Pox, Herpes Zoster, Herpes Zoster Secondary",1557
"Sars ,Respiratory",1559
"Dental Infection, Meniere's Disease,Ear, General Program Blaster, Dental Infection, Bone",1560
Dental Infection,1562
Spiritual Well-being Stimulate Balance,1565
"Cancer Cervical, Herpes Simplex RTI",1568
"Thyroid Gland Fever, Cancer Carcinoma, Borna Disease Virus BDV, Thyroid Balance and",1570
"Bone Regeneration, Herpes Zoster Virus, Herpes General, Cancer Lymphogranuloma Lymphoma,",1577
"Carcinoma Bronchial, Cancer Carcinoma Bronchial,Lung, Carcinoma, Cancer Bronchial, Cancer",1582
"Babesia Lyme, Protomyxzoa Rheumatica, Babesia,Blood, Rickettsia Rickettsii, Babesiosis,",1583
"Rickettsia Rickettsii, Ehrlichia, Babesia Lyme, Babesia,Blood, Babesiosis",1584
"Lyme and Rocky Mountain Spotted Fever V, Ehrlichia, Rocky Mountain Spotted Fever and Lyme V,",1590
"Ulcers, Gingivitis, Eyes Crossed, Bone Disease and Periodontal, Bronchial Asthma, Kidney",1600
"Cancer BY Sarcoma Virus, BX Virus, Cancer BY Sarcoma Virus, Cancer Basic, Cancer Throat",1604
Actinomycosis Streptothrix MOR,1607
"Herpes Simplex General Virus, Herpes Simplex I, Herpes Simplex i, Herpes Type 1 Anec Comp,",1614
"Erythema,Face, Erythema, Fifth Disease, Erythema Infectiosum",1618
Dermatitis Exfoliative,1620
Pyrogenium Mayo,1625
Mold Mix C,1627
"Leukoencephalitis, Bartonella Infections, Leukoencephalitis Secondary, Leukoencephalitis,",1630
"Campylobacter, Campylobacter",1633
"Salmonella Type B, Salmonella B, Salmonella Comp, Food Poisoning",1634
Healing Infinite,1638
"Corn Smut, Corn Smut",1642
"Variola, Herpes Simplex RTI, Tuberculosis Klebsiella,Lung, Microsporum Canis, TB Klebsiella,",1644
"Prosthodontics, Rabies",1650
"Cataract, Cataract, Cataract, Cataract General, Cataract",1654
Tonsillar NOS,1656
"Mumps Secondary,Mouth, Mumps",1660
Cancer,1662
"Arthritis, Arthritis General, Arthritis, Arthritis",1664
"Human T Lymphocyte Virus, Cancer BY Sarcoma Virus, Cancer Hodgkin's Disease, HIV, T Lymph",1675
Infectious Mononucleosis,1680
"Breakbone Fever, Dengue Fever",1692
"Medorrhinum, Photosensitivity Disorders, Tuberculinum, Diabetes Mellitus, Dental Infection,",1700
"E Coli Mutant Strain, Escherichia Coli, Escherichia Coli Mutant Strain",1703
Cryptosporidiosis,1710
Dan's Mold,1711
Escherichia Coli,1712
"Escherichia Coli,Intestines, E Coli, Escherichia Coli, E Coli, E Coli Escherichia Coli, Bacterium",1722
"Endocrine RX, High Endocrine Production Stimulate",1725
"E Coli Escherichia Coli, E Coli",1729
"Myocarditis, Escherichia Coli, Plant Poisoning",1730
"Cancer Fibrosarcoma, Fibrosarcoma, Fibroids General,Uterus, Lymphoma Non Hodgkins, Cancer",1744
"Ophthalmoplegia, Cytomegalovirus CMV",1750
"Cancer BX Carcinoma Virus, Cancer Sarcoma General, Cancer Sarcoma",1755
"Cancer Neuroblastoma,Nerve",1757
"General Antiseptic, Detox Antiseptic Effect, Salmonella Typhi, Osteoporosis, Typhoid Fever",1770
"Banti's Syndrome, Banal",1778
"Psoriasis, Allergic Granulomatous Angiitis",1780
"Bronchial Asthma,Lung, Cancer Carcinoma Basal Cell Skin,Skin, Bronchial Asthma, Infectious",1800
Vision Acuity,1802
Vision Acuity,1806
Vision Acuity,1810
Vision Acuity,1814
Vision Acuity,1818
"Carcinoma, HHV6, Cancer Carcinoma, Herpes Type",1820
Vision Acuity,1822
"Aspergillus Flavus,Lung, Mold and Fungus General, Aspergillus Flavus,Lung, Fungus and Mold,",1823
Vision Acuity,1826
"Macracanthorhynchus, Macular Degeneration and Visual Acuity, Ebola Virus",1828
"Eye Disorders,Eyes, Cancer Healing",1829
"Eyes Glaucoma,Eyes, Mesothelioma, Eyesight to Improve,Eyes, Glaucoma, Cataract Complicated,",1830
"Eye Disorders,Eyes",1831
"Macular Degeneration and Visual Acuity, Dan's Mold, Macular Degeneration Visual Acuity,",1832
"Mold and Fungus General, Mold, Fungus and Mold",1833
"Macular Degeneration Visual Acuity, Campylobacter,Indigestion, Macracanthorhynchus, Macular",1834
"Ehrlichia Chaffeensis, Macular Degeneration and Visual Acuity, Macular Degeneration Visual",1836
"Macracanthorhynchus, Vision Acuity, Macular Degeneration and Visual Acuity, Macular",1838
"Macracanthorhynchus, Cancer Prostate, General Program Blaster, Macular Degeneration and",1840
"Macular Degeneration Visual Acuity, Macular Degeneration and Visual Acuity,",1842
"Macular Degeneration and Visual Acuity, Macular Degeneration Visual Acuity,",1844
"Macular Degeneration and Visual Acuity, Vision Acuity, Macular Degeneration Visual Acuity,",1846
"Vision Acuity, Macular Degeneration Visual Acuity, Macracanthorhynchus, Macular Degeneration",1848
"Herpes Simplex i, High Blood Sugar, Diabetes, Eurytrema Pancreaticum, Polio, Pancreas Fluke,",1850
"Macular Degeneration and Visual Acuity, Vision Acuity, Macracanthorhynchus, Macular",1852
"Macular Degeneration Visual Acuity, Macracanthorhynchus, Macular Degeneration and Visual",1854
"Macracanthorhynchus, Vision Acuity, Macular Degeneration Visual Acuity, Macular Degeneration",1856
